timestamp,raw_value,attention,meditation,blink,label
1646609408.084439,177,17,67,0,2
1646609408.085644,185,17,67,0,2
1646609408.087788,149,17,67,0,2
1646609408.088984,103,17,67,0,2
1646609408.0902789,56,17,67,0,2
1646609408.091517,25,17,67,0,2
1646609408.094021,2,17,67,0,2
1646609408.099067,3,17,67,0,2
1646609408.100214,3,17,67,0,2
1646609408.1014872,-33,17,67,0,2
1646609408.1027021,-54,17,67,0,2
1646609408.104094,-20,17,67,0,2
1646609408.107724,52,17,67,0,2
1646609408.109271,48,17,67,0,2
1646609408.110253,-11,17,67,0,2
1646609408.111422,-74,17,67,0,2
1646609408.112662,-81,17,67,0,2
1646609408.11391,-42,17,67,0,2
1646609408.116538,-25,17,67,0,2
1646609408.117739,-60,17,67,0,2
1646609408.1189451,-125,17,67,0,2
1646609408.124463,-136,17,67,0,2
1646609408.170824,-74,17,67,0,2
1646609408.172034,-54,17,67,0,2
1646609408.239063,-38,17,67,0,2
1646609408.261974,82,17,67,0,2
1646609408.262072,183,17,67,0,2
1646609408.2621582,107,17,67,0,2
1646609408.26232,42,17,67,0,2
1646609408.262538,68,17,67,0,2
1646609408.262851,155,17,67,0,2
1646609408.262953,194,17,67,0,2
1646609408.263038,169,17,67,0,2
1646609408.263121,151,17,67,0,2
1646609408.2632031,146,17,67,0,2
1646609408.263286,154,17,67,0,2
1646609408.2633688,167,17,67,0,2
1646609408.2634509,167,17,67,0,2
1646609408.26354,185,17,67,0,2
1646609408.263592,212,17,67,0,2
1646609408.263644,232,17,67,0,2
1646609408.2637088,237,17,67,0,2
1646609408.2638772,233,17,67,0,2
1646609408.2639658,227,17,67,0,2
1646609408.26402,240,17,67,0,2
1646609408.264074,197,17,67,0,2
1646609408.264128,122,17,67,0,2
1646609408.264181,116,17,67,0,2
1646609408.264234,155,17,67,0,2
1646609408.264286,156,17,67,0,2
1646609408.264357,100,17,67,0,2
1646609408.270962,54,17,67,0,2
1646609408.271144,75,17,67,0,2
1646609408.2712371,141,17,67,0,2
1646609408.271322,205,17,67,0,2
1646609408.271421,183,17,67,0,2
1646609408.271613,88,17,67,0,2
1646609408.271795,69,17,67,0,2
1646609408.2718878,123,17,67,0,2
1646609408.2719722,139,17,67,0,2
1646609408.2720551,140,17,67,0,2
1646609408.272136,139,17,67,0,2
1646609408.2722182,131,17,67,0,2
1646609408.272299,147,17,67,0,2
1646609408.2723799,198,17,67,0,2
1646609408.2724721,250,17,67,0,2
1646609408.272851,246,17,67,0,2
1646609408.272937,259,17,67,0,2
1646609408.2730198,256,17,67,0,2
1646609408.273102,166,17,67,0,2
1646609408.273184,91,17,67,0,2
1646609408.273265,82,17,67,0,2
1646609408.2733471,104,17,67,0,2
1646609408.273428,149,17,67,0,2
1646609408.273509,152,17,67,0,2
1646609408.273591,120,17,67,0,2
1646609408.2736719,128,17,67,0,2
1646609408.274013,153,17,67,0,2
1646609408.274195,195,17,67,0,2
1646609408.2742798,235,17,67,0,2
1646609408.2743628,231,17,67,0,2
1646609408.274445,197,17,67,0,2
1646609408.274527,186,17,67,0,2
1646609408.2746081,164,17,67,0,2
1646609408.274689,98,17,67,0,2
1646609408.274771,42,17,67,0,2
1646609408.274884,43,17,67,0,2
1646609408.274986,113,17,67,0,2
1646609408.275255,156,17,67,0,2
1646609408.275389,122,17,67,0,2
1646609408.275502,81,17,67,0,2
1646609408.275667,85,17,67,0,2
1646609408.275769,115,17,67,0,2
1646609408.275838,133,17,67,0,2
1646609408.275908,124,17,67,0,2
1646609408.275955,91,17,67,0,2
1646609408.275997,33,17,67,0,2
1646609408.276042,-6,17,67,0,2
1646609408.276083,18,17,67,0,2
1646609408.276126,12,17,67,0,2
1646609408.2793589,-94,17,67,0,2
1646609408.280591,-168,17,67,0,2
1646609408.281867,-138,17,67,0,2
1646609408.283103,-100,17,67,0,2
1646609408.2842681,-107,17,67,0,2
1646609408.2856781,-133,17,67,0,2
1646609408.2880929,-155,17,67,0,2
1646609408.289388,-156,17,67,0,2
1646609408.291852,-151,17,67,0,2
1646609408.292842,-122,17,67,0,2
1646609408.296878,-104,17,67,0,2
1646609408.298035,-131,17,67,0,2
1646609408.2993019,-165,17,67,0,2
1646609408.301806,-153,17,67,0,2
1646609408.303021,-103,17,67,0,2
1646609408.305661,-29,17,67,0,2
1646609408.306753,34,17,67,0,2
1646609408.309568,5,17,67,0,2
1646609408.312832,-104,17,67,0,2
1646609408.314059,-201,17,67,0,2
1646609408.315184,-215,17,67,0,2
1646609408.316418,-168,17,67,0,2
1646609408.31901,-139,17,67,0,2
1646609408.3467379,-186,17,67,0,2
1646609408.349441,-245,17,67,0,2
1646609408.350689,-233,17,67,0,2
1646609408.3544672,-145,17,67,0,2
1646609408.356405,10,17,67,0,2
1646609408.356456,101,17,67,0,2
1646609408.3565,75,17,67,0,2
1646609408.356543,51,17,67,0,2
1646609408.356585,83,17,67,0,2
1646609408.356626,149,17,67,0,2
1646609408.3566668,150,17,67,0,2
1646609408.356708,96,17,67,0,2
1646609408.356749,86,17,67,0,2
1646609408.35679,123,17,67,0,2
1646609408.356831,153,17,67,0,2
1646609408.3568718,161,17,67,0,2
1646609408.3569129,103,17,67,0,2
1646609408.3581572,22,17,67,0,2
1646609408.359173,-14,17,67,0,2
1646609408.36026,-4,17,67,0,2
1646609408.36159,16,17,67,0,2
1646609408.381865,7,17,67,0,2
1646609408.3829849,-21,17,67,0,2
1646609408.407032,-37,17,67,0,2
1646609408.408606,-25,17,67,0,2
1646609408.409557,-18,17,67,0,2
1646609408.409704,5,17,67,0,2
1646609408.409764,38,17,67,0,2
1646609408.409826,42,17,67,0,2
1646609408.409882,58,17,67,0,2
1646609408.409936,105,17,67,0,2
1646609408.410005,151,17,67,0,2
1646609408.4100459,161,17,67,0,2
1646609408.41009,160,17,67,0,2
1646609408.411668,180,17,67,0,2
1646609408.413793,198,17,67,0,2
1646609408.413841,182,17,67,0,2
1646609408.413884,172,17,67,0,2
1646609408.413926,186,17,67,0,2
1646609408.4139678,176,17,67,0,2
1646609408.414009,105,17,67,0,2
1646609408.414049,59,17,67,0,2
1646609408.41409,66,17,67,0,2
1646609408.414131,128,17,67,0,2
1646609408.414172,166,17,67,0,2
